[03-Apr-2025 22:31:05 UTC] PHP Warning:  Undefined array key "host" in /workspaces/Minora/.wordpress/wp-includes/pluggable.php on line 1625
[03-Apr-2025 23:31:16 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:18 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:18 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:18 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:18 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:18 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:19 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:19 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:19 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:19 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:20 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:20 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:20 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:20 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:21 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:21 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:21 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:21 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:22 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:22 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:22 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:22 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 26
[03-Apr-2025 23:31:23 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[03-Apr-2025 23:31:23 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 12288 bytes) in /workspaces/Minora/.wordpress/wp-includes/PHPMailer/PHPMailer.php on line 2271
[03-Apr-2025 23:44:27 UTC] PHP Fatal error:  Out of memory (allocated 35651584) (tried to allocate 8192 bytes) in /workspaces/Minora/.wordpress/wp-admin/includes/post.php on line 1337
[03-Apr-2025 23:44:27 UTC] PHP Fatal error:  Out of memory (allocated 35651584) (tried to allocate 12288 bytes) in /workspaces/Minora/.wordpress/wp-includes/functions.php on line 6893
[03-Apr-2025 23:44:27 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/Minora/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
